texte,label
"Si la Fifa décide d'organiser la Coupe du monde tous les deux ans, l'UEFA menace de ne pas y envoyer les équipes européennes. Le Mondial se jouerait donc sans la France, l'Italie ou encore l'Allemagne",Sport
Cristiano Ronaldo se dit prêt à écrire une nouvelle page de l'histoire de Manchester United. Et il laisse entendre qu'il pourrait même jouer chez les Red Devils jusqu'à 40 ans,Sport
Kylian Mbappé a évoqué la rivalité entre le Paris Saint-Germain et l'Olympique de Marseille dans le documentaire d'Amazon consacré au club de la capitale,Sport
"Deux mois après son arrivée, Sergio Ramos n'a toujours pas disputé le moindre match avec le Paris Saint-Germain. Et le flou demeure autour de son état de santé",Sport
"Vainqueur de la Vuelta en 2019 et 2020, Primoz Roglic a remis ça en 2021, en s’imposant devant Enric Mas et Jack Haig. Le Slovène de Jumbo-Visma a même mis la cerise sur le gâteau en remportant le contre-la-montre final à St-Jacques-de-Compostelle",Sport
"La reprise économique post-pandémie semble accélérer en Europe, portée par une quatrième vague relativement sous contrôle, la vaccination et le plan de relance de l’Union européenne. Après l’Italie, qui a revu sa prévision de croissance fortement à la hausse, près d’un point et demi de plus que précédemment annoncé, c’est au tour de l’Insee d’apporter des bonnes nouvelles",économie
"En raison des difficultés pour consommer pendant la pandémie, les Français ont épargné beaucoup plus que ce qu'ils auraient mis de côté en temps normal, explique sans surprise un rapport de la Banque de France",économie
"Entre Brexit et pandémie, les rayons des supermarchés anglais se vident, au grand désespoir des consommateurs. Une situation qui risque de durer à moins que le gouvernement de Boris Johnson n'assouplisse la législation sur les travailleurs étrangers",économie
"Malgré le scandale LuxLeaks, puis celui des Panama Papers, les banques européennes continuent d'enregistrer une bonne part de leurs bénéfices dans des paradis fiscaux, selon une étude. Les principales intéressées s'en défendent",économie
"Il faudra attendre 2022 pour voir arriver le chèque alimentaire promis par Emmanuel Macron, visant à améliorer l'ordinaire alimentaire des ménages modestes. Deux ans après son annonce par le président de la République",économie
"Le projet de loi de finances pour 2022, le dernier du mandat d’Emmanuel Macron, doit être présenté en conseil des ministres le 22 septembre. Le plan d’investissement et le revenu d’engagement y seront intégrés par amendements",politique
"L’ex-ministre de la santé Agnès Buzyn est convoquée, vendredi 10 septembre, par les juges de la Cour de justice de la République. Elle risque une mise en examen pour mise en danger de la vie d’autrui dans le cadre de la gestion gouvernementale de la crise sanitaire",politique
"Le président des Hauts-de-France refuse toujours de participer à une primaire de la droite. Mais alors qu’il ne parvient pas à creuser l’écart dans les sondages, sa position devient difficilement tenable.",politique
Le salaire minimum pourrait passer en octobre de 1554 euros à 1585 euros brut par mois. Un effet de la hausse des prix depuis un an,politique
"Pour les élus de la majorité réunis à Angers, rouvrir le dossier des retraites avant la présidentielle, comme le laisse entendre l’exécutif, serait trop risqué. C’est une excellente réforme de début de deuxième quinquennat",politique
